ID,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LAT,LON,NUMERO_LOGRADOURO_ENTREGA
606,ESCOLA MUNICIPAL PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ,-22.99412,-43.59368,4406
342,ESCOLA MUNICIPAL FERNANDO COSTA,CAMPO GRANDE,RUA JOSE ALBANO,-22.89036,-43.59399,SNo
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,RUA PEQUIA,-22.91097,-43.61605,97
497,ESCOLA MUNICIPAL PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS,-22.87319,-43.62773,SNo
319,ESCOLA MUNICIPAL MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME,-22.92485,-43.63289,SNo
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS,-22.88855,-43.63805,SNo
210,ESCOLA MUNICIPAL DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA,-23.00142,-43.63876,643
474,ESCOLA MUNICIPAL ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA,-22.98046,-43.64354,9183
515,CENTRO INTEGRADO DE EDUCACAO PUBLICA HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,ESTRADA DA PEDRA,-22.97451,-43.64817,SNo
297,ESCOLA MUNICIPAL PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 SNo CONJ,-22.93011,-43.6529,CESARAO
316,ESCOLA MUNICIPAL PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA SNo CONJ,-22.91403,-43.65344,URUCANIA
323,CENTRO INTEGRADO DE EDUCACAO PUBLICA ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO,-22.93416,-43.66213,SNdeg
289,ESCOLA MUNICIPAL BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI,-22.97906,-43.67058,2075
311,ESCOLA MUNICIPAL PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS,-22.91572,-43.67975,SNo
560,ESCOLA MUNICIPAL ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO,-22.92139,-43.68058,750
068,ESCOLA MUNICIPAL WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA SN BLOCO,-22.95601,-43.68675,1
246,ESCOLA MUNICIPAL FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS,-22.92306,-43.69233,SNo
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO,-22.97174,-43.69735,SNo
